3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,Remainder,,52,0,0,0,,
third_party/blink/renderer/core/paint/frame_painter.h,32,static bool in_paint_contents_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/paint/paint_layer_scrollable_area.h,202,static int count_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/paint/paint_layer_scrollable_area.h,203,static SubtreeLayoutScope* layout_scope_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/paint/paint_layer_scrollable_area.h,204,static bool relayout_needed_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/paint/paint_layer_scrollable_area.h,219,static int count_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/paint/paint_layer_scrollable_area.h,241,static int count_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/paint/paint_layer.cc,103,static CompositingQueryMode g_compositing_query_mode =,Link,,No,No,No,Scoped state,
third_party/blink/renderer/core/paint/paint_timing_detector.h,145,static ScopedPaintTimingDetectorBlockPaintHook* top_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/scroll/scroll_animator_test.cc,49,static double g_mocked_time = 0.0;,Link,,No,No,No,Test-only mock clock.,
third_party/blink/renderer/core/scroll/scrollbar_theme_overlay.cc,220,static ScrollbarThemeOverlay* theme;,Link,,No,No,No,Needs to be ThreadSpecific if we have multiple main threads. Maybe could be const.,
third_party/blink/renderer/core/scroll/scrollbar_theme.h,233,  static bool g_mock_scrollbars_enabled_;,Link,Member,No,No,No,Test-only Scoped state,
third_party/blink/renderer/core/style/nine_piece_image.cc,32,static DataRef<NinePieceImageData>* data = new DataRef<NinePieceImageData>;,Link,,No,No,No,Maybe could be const.,
